production_line,material_type,temp_sensor_1,pressure_sensor,humidity,vibration_sensor,processing_time_sec,power_consumption,operator_experience_years,yield_percentage
Line-B,Type-X,,51.11,,0.576,118.9,222.94,9.0,95.39
Line-A,Type-Z,96.65,46.25,56.91,0.9656,123.9,188.58,3.0,93.02
Line-A,Type-X,101.98,46.84,60.5,1.0177,125.2,217.23,7.0,94.39
Line-A,Type-X,90.05,49.84,59.05,0.9458,104.7,230.44,9.0,95.34
Line-A,Type-Z,93.23,51.55,51.5,0.9932,110.4,168.78,6.0,93.19
Line-A,Type-X,101.42,46.63,43.83,1.0398,120.3,152.97,8.0,96.05
Line-B,Type-Z,94.52,48.94,66.66,1.4231,135.1,200.46,9.0,92.61
Line-A,Type-Y,,49.72,40.73,1.0497,124.0,184.7,9.0,96.39
Line-A,Type-Y,103.54,51.72,51.17,0.9372,121.0,165.06,4.0,95.93
Line-B,Type-X,98.14,49.52,56.78,0.932,124.4,193.86,3.0,94.91
Line-B,Type-X,105.52,50.78,67.72,1.3004,126.5,206.47,2.0,93.97
Line-A,Type-Z,101.71,55.73,33.91,1.0121,132.8,168.18,6.0,92.38
Line-B,Type-Z,,50.71,60.29,1.1087,105.7,235.58,4.0,92.22
Line-A,Type-X,98.26,50.91,53.98,1.2106,117.3,227.28,6.0,95.33
Line-B,Type-X,102.24,49.36,33.97,0.8153,121.0,176.75,9.0,95.24
Line-B,Type-X,98.64,45.9,31.36,0.9607,115.6,179.75,4.0,94.32
Line-A,Type-Y,100.38,46.77,30.42,0.8111,114.4,152.97,8.0,96.37
Line-A,Type-Y,93.76,50.72,64.73,0.7783,137.6,182.81,5.0,93.59
Line-A,Type-Z,95.01,49.95,52.93,1.1382,126.4,164.65,6.0,94.09
Line-B,Type-Z,103.18,49.68,61.37,0.7462,115.5,152.97,8.0,94.16
Line-B,Type-Y,98.96,49.67,53.37,1.0897,138.3,210.64,10.0,95.16
Line-A,Type-Z,100.48,46.6,35.26,1.0341,109.0,152.97,9.0,93.32
Line-B,Type-Z,106.65,49.28,59.37,0.9451,135.1,242.58,1.0,92.55
Line-B,Type-Z,92.16,48.18,30.44,0.7996,127.6,201.67,6.0,92.49
Line-B,Type-Z,98.12,50.63,59.47,0.5937,138.9,200.84,3.0,93.75
Line-B,Type-X,103.66,50.29,37.59,0.9776,133.0,208.86,10.0,95.51
Line-A,Type-Y,96.18,48.45,40.3,0.9835,110.3,188.46,9.0,95.42
Line-A,Type-X,95.67,49.8,39.31,1.1305,127.4,216.75,2.0,94.25
Line-A,Type-Y,99.11,50.74,50.47,1.0239,103.8,226.86,9.0,95.34
Line-B,Type-Z,100.67,48.07,41.61,0.8097,122.4,183.27,10.0,93.74
Line-A,Type-X,115.52,50.93,38.16,1.0494,120.6,171.56,3.0,93.99
Line-A,Type-X,100.38,48.97,40.35,1.0163,119.5,209.38,6.0,96.05
Line-B,Type-Y,100.39,52.48,51.49,1.1055,121.5,189.24,5.0,96.14
Line-A,Type-Y,99.45,51.85,53.1,0.8372,125.7,217.8,7.0,95.31
Line-A,Type-Y,97.94,47.44,38.51,1.1189,115.5,182.52,4.0,95.42
Line-B,Type-Z,93.47,49.46,65.89,1.0398,134.2,208.11,4.0,92.95
Line-A,Type-Z,,49.43,69.47,0.7345,113.0,202.73,4.0,94.06
Line-A,Type-Y,102.09,45.77,49.87,1.0323,112.6,209.54,10.0,95.99
Line-A,Type-Z,105.97,50.35,47.86,1.0353,109.6,221.98,3.0,94.02
Line-A,Type-Y,92.65,48.49,66.46,1.0733,96.9,202.03,8.0,94.87
Line-B,Type-Z,104.78,49.67,45.81,0.9277,138.1,218.13,10.0,94.01
Line-A,Type-Y,102.9,52.31,67.03,1.0028,138.6,213.76,5.0,94.59
Line-A,Type-Y,104.35,49.97,36.31,0.4743,111.7,176.7,1.0,95.33
Line-A,Type-Z,97.78,50.51,59.99,1.5057,139.9,212.46,4.0,93.93
Line-A,Type-Y,101.34,46.81,60.22,1.1405,119.1,203.78,1.0,94.73
Line-A,Type-Y,99.47,49.65,47.77,1.0148,113.3,196.85,10.0,97.37
Line-A,Type-X,104.52,48.67,48.78,1.1728,115.1,195.2,10.0,94.2
Line-A,Type-X,97.91,50.78,56.79,1.0298,131.8,239.43,4.0,94.69
Line-A,Type-Z,105.39,,34.55,1.2188,123.8,183.71,5.0,93.16
Line-A,Type-Y,99.5,49.95,45.98,0.8435,119.4,209.48,7.0,96.46
Line-A,Type-Z,95.56,46.25,63.74,1.2575,112.9,183.59,7.0,92.76
Line-B,Type-Y,103.98,49.11,,0.7854,119.1,206.4,5.0,96.43
Line-A,Type-X,106.43,,55.38,1.0061,121.2,196.18,5.0,95.11
Line-A,Type-X,102.33,53.11,64.53,0.9056,137.1,192.26,7.0,94.25
Line-B,Type-Z,100.62,49.71,59.23,1.012,128.0,188.65,8.0,94.49
Line-B,Type-X,,48.76,44.7,1.01,115.6,186.15,8.0,94.85
Line-A,Type-Y,103.27,49.53,49.51,0.9525,,178.0,7.0,95.29
Line-B,Type-Y,97.03,50.04,52.22,1.2202,104.8,199.84,10.0,96.79
Line-B,Type-X,99.59,52.22,36.42,1.1615,106.9,202.95,7.0,94.73
Line-A,Type-Y,89.79,50.92,37.96,1.0344,142.3,220.16,3.0,94.33
Line-A,Type-Z,101.05,49.26,40.25,1.0082,135.7,238.28,4.0,93.89
Line-B,Type-X,100.9,48.72,40.24,0.85,108.8,200.78,8.0,94.96
Line-A,Type-Y,100.61,47.48,49.67,0.9469,126.3,181.42,3.0,95.37
Line-B,Type-Y,94.89,50.47,49.2,1.002,124.2,180.18,7.0,96.04
Line-B,Type-Z,113.97,50.26,52.39,0.3925,105.8,192.84,4.0,92.61
Line-B,Type-Y,102.91,48.23,52.0,1.1803,,173.3,10.0,95.58
Line-A,Type-X,106.01,49.03,31.88,1.1742,131.4,193.58,1.0,94.62
Line-B,Type-X,97.39,47.88,60.06,1.0616,102.7,204.88,5.0,94.6
Line-B,Type-X,92.64,49.14,51.29,0.9902,125.5,212.38,7.0,94.74
Line-B,Type-Y,98.07,50.56,37.88,1.0597,106.5,203.84,7.0,95.69
Line-B,Type-Y,103.8,52.26,51.96,1.0398,113.2,218.94,9.0,95.66
Line-B,Type-Y,97.88,53.59,40.87,1.1785,106.4,202.34,2.0,94.29
Line-A,Type-X,102.13,50.63,49.3,0.9919,113.5,205.51,7.0,94.95
Line-B,Type-X,99.34,50.62,56.78,0.8366,114.8,193.4,9.0,95.01
Line-B,Type-X,102.44,47.74,58.39,1.022,122.1,231.93,2.0,94.25
Line-B,Type-Y,97.91,48.43,,1.1285,111.1,212.1,4.0,95.98
Line-B,Type-Z,106.16,44.72,44.4,0.8632,118.8,228.22,4.0,92.35
Line-B,Type-X,109.31,48.79,32.85,0.999,120.6,206.88,9.0,95.49
Line-B,Type-X,102.56,50.62,67.69,0.9403,,197.13,9.0,95.71
Line-B,Type-Z,100.48,47.83,43.89,0.7269,120.7,213.77,7.0,93.24
Line-A,Type-X,101.62,50.94,51.41,0.9112,125.2,198.16,6.0,94.68
Line-B,Type-Y,99.71,52.87,52.02,0.9872,119.5,172.42,10.0,96.46
Line-A,Type-X,101.67,54.8,65.39,1.034,126.6,173.24,4.0,94.8
Line-B,Type-X,96.76,48.18,35.3,1.2095,100.7,235.04,9.0,94.22
Line-B,Type-X,102.35,52.69,68.59,1.017,124.9,202.84,7.0,94.92
Line-A,Type-X,100.86,49.0,41.83,0.5685,135.3,223.44,9.0,95.34
Line-A,Type-Y,98.54,49.56,62.71,0.9998,123.1,187.27,7.0,96.89
Line-A,Type-X,101.5,47.39,35.72,1.0616,114.0,210.92,6.0,95.32
Line-A,Type-X,101.63,55.26,33.15,1.0371,116.7,196.37,10.0,94.77
Line-A,Type-Z,100.82,50.84,37.54,0.9908,120.4,167.05,7.0,95.15
Line-B,Type-X,99.76,47.92,49.44,1.1662,106.5,177.26,9.0,94.91
Line-B,Type-Z,99.08,51.9,,0.7556,120.0,189.13,5.0,93.8
Line-B,Type-X,89.21,48.46,42.04,0.6801,112.1,196.71,1.0,93.57
Line-A,Type-Z,102.66,50.14,45.84,0.7737,,221.9,9.0,92.63
Line-B,Type-Y,98.09,47.63,59.05,1.2242,119.5,178.09,2.0,96.26
Line-B,Type-Z,104.84,49.62,59.97,0.6009,125.0,186.8,1.0,93.45
Line-B,Type-X,93.82,47.79,48.48,0.8561,99.6,192.02,1.0,93.68
Line-B,Type-X,97.1,50.76,47.25,0.9996,121.2,220.13,8.0,94.78
Line-B,Type-X,92.69,54.74,34.26,1.1494,137.6,193.42,7.0,93.3
Line-B,Type-Z,109.44,51.83,69.74,1.0432,150.7,183.71,7.0,91.56
Line-A,Type-Y,103.07,48.35,48.02,0.8594,136.0,157.51,1.0,93.99
Line-A,Type-Z,99.79,47.93,39.88,1.1594,122.9,210.53,4.0,94.42
Line-A,Type-Y,99.13,49.02,57.94,0.8811,124.9,243.34,8.0,96.8
Line-A,Type-X,101.91,49.66,57.82,0.9572,138.3,175.15,4.0,94.24
Line-A,Type-X,98.86,48.92,30.31,1.0993,92.2,152.97,1.0,92.87
Line-A,Type-Y,99.74,50.11,60.82,0.8465,119.7,212.88,3.0,95.99
Line-A,Type-X,96.61,,44.9,1.0292,126.9,221.6,2.0,93.83
Line-B,Type-Y,104.21,52.55,35.91,1.148,115.1,174.84,10.0,95.85
Line-A,Type-Y,105.29,47.38,40.45,0.8774,128.5,225.54,1.0,94.43
Line-B,Type-X,103.96,52.98,38.96,0.9461,110.5,179.04,9.0,95.02
Line-A,Type-Y,105.66,50.35,55.62,1.0398,137.1,229.4,8.0,95.36
Line-B,Type-X,103.04,54.33,60.36,1.2509,119.1,184.64,7.0,95.26
Line-B,Type-X,103.57,50.97,66.32,0.7799,123.5,196.36,10.0,94.48
Line-A,Type-Y,108.46,50.03,45.8,0.6956,114.7,179.09,8.0,95.26
Line-A,Type-X,101.25,49.42,60.58,0.7177,110.3,201.61,8.0,96.25
Line-A,Type-X,97.03,53.09,36.93,0.9982,118.3,218.6,7.0,95.33
Line-B,Type-X,104.45,49.14,64.95,1.0398,117.9,221.28,8.0,94.08
Line-B,Type-Y,99.27,50.31,33.02,0.9402,107.9,195.48,9.0,96.3
Line-A,Type-X,94.94,50.51,50.18,1.2839,118.2,213.28,10.0,95.43
Line-B,Type-Z,100.96,52.39,51.53,0.9534,120.3,189.6,5.0,94.35
Line-B,Type-Z,103.4,51.59,44.12,1.0066,136.3,164.31,7.0,91.99
Line-A,Type-Y,93.41,51.17,44.12,0.8455,121.4,181.71,1.0,94.54
Line-B,Type-X,92.92,51.11,33.94,1.0878,115.6,167.7,7.0,93.76
Line-B,Type-Y,91.48,48.39,54.36,1.0001,,229.61,10.0,94.82
Line-B,Type-Y,97.79,48.48,44.28,1.0721,126.0,239.4,8.0,96.3
Line-B,Type-Y,100.9,47.89,50.01,1.0398,129.9,215.1,10.0,95.87
Line-A,Type-Y,99.0,49.14,68.13,1.288,124.5,210.85,3.0,95.93
Line-B,Type-X,95.33,46.61,41.47,1.0945,112.4,163.95,6.0,93.53
Line-A,Type-Y,100.91,52.57,33.8,1.1207,119.1,219.52,4.0,95.72
Line-B,Type-Y,97.2,53.89,49.02,1.0139,124.1,229.9,7.0,95.02
Line-A,Type-Z,102.76,49.0,30.84,1.3721,125.0,186.02,4.0,93.8
Line-A,Type-Y,96.74,48.37,54.02,1.2164,129.1,195.45,1.0,94.67
Line-A,Type-Y,109.78,54.1,63.83,0.8887,128.5,232.42,10.0,95.15
Line-A,Type-Y,91.69,46.12,59.59,1.2253,113.3,190.81,1.0,93.76
Line-A,Type-Z,101.57,48.87,59.95,0.8643,123.5,198.24,4.0,94.23
Line-A,Type-Y,101.01,50.88,35.36,0.8286,134.8,185.38,4.0,96.42
Line-A,Type-X,96.45,51.5,44.06,1.1887,115.9,229.6,6.0,95.17
Line-A,Type-X,99.1,49.58,60.68,0.9627,118.8,194.46,5.0,94.82
Line-B,Type-Y,99.32,49.86,68.1,1.0753,127.5,190.98,7.0,96.89
Line-A,Type-Y,104.46,54.06,34.3,1.0275,127.8,170.35,10.0,96.14
Line-A,Type-X,102.75,52.06,46.71,1.2219,106.4,198.26,8.0,94.49
Line-A,Type-Y,,50.94,59.62,0.9855,109.2,198.33,3.0,95.57
Line-B,Type-X,97.34,44.97,69.53,1.2074,,207.75,9.0,94.55
Line-A,Type-X,96.92,52.93,66.0,0.9555,119.2,163.56,8.0,95.43
Line-A,Type-Z,98.89,53.71,55.07,1.1034,110.7,193.73,1.0,92.54
Line-A,Type-Y,94.71,51.82,62.25,0.7151,118.3,188.19,9.0,96.25
Line-A,Type-Z,92.53,50.03,48.28,0.9976,126.6,187.8,1.0,92.21
Line-A,Type-X,105.8,49.73,57.57,0.7616,118.6,194.07,7.0,94.88
Line-A,Type-X,109.77,52.12,54.59,1.2827,141.1,186.22,3.0,92.86
Line-A,Type-X,102.71,49.23,40.57,1.143,112.0,204.37,3.0,94.47
Line-B,Type-Y,92.5,48.2,58.96,0.7275,109.4,186.53,7.0,95.28
Line-A,Type-X,100.53,47.18,58.8,0.9496,114.7,208.18,4.0,93.71
Line-A,Type-X,98.71,48.08,36.63,1.0763,123.6,205.04,2.0,94.85
Line-B,Type-Y,98.96,50.72,49.2,1.0837,133.7,196.35,3.0,95.65
Line-A,Type-Z,102.21,51.24,,0.9839,128.6,188.87,1.0,93.54
Line-B,Type-Y,102.98,48.92,54.06,1.0859,117.1,173.41,2.0,95.92
Line-B,Type-X,95.32,46.81,,1.0994,102.4,186.34,3.0,93.4
Line-B,Type-Z,98.58,49.3,53.5,1.0692,130.9,192.32,4.0,93.75
Line-B,Type-Y,101.1,50.27,50.67,0.8421,137.2,215.54,2.0,95.52
Line-B,Type-X,92.76,50.05,66.61,0.7218,122.1,201.02,3.0,94.85
Line-A,Type-X,92.12,51.16,38.47,0.9704,98.9,166.33,5.0,93.95
Line-B,Type-Z,99.34,47.88,40.11,1.0232,,173.37,10.0,94.11
Line-A,Type-X,102.48,50.42,47.78,0.8542,118.6,194.82,9.0,95.96
Line-A,Type-Y,106.66,51.57,55.44,1.026,126.6,180.9,2.0,95.18
Line-B,Type-Y,86.05,47.93,67.49,1.1517,129.8,212.74,5.0,93.9
Line-A,Type-Z,101.22,47.77,31.12,0.9234,122.2,195.02,1.0,93.72
Line-B,Type-X,100.41,52.23,32.03,1.3508,121.2,229.34,3.0,94.75
Line-B,Type-Z,99.18,51.83,30.15,0.884,132.9,152.97,8.0,93.28
Line-B,Type-Z,98.27,51.14,56.52,1.0536,134.0,227.85,10.0,94.21
Line-B,Type-Z,103.74,47.65,51.31,1.2526,121.7,183.41,10.0,93.12
Line-A,Type-X,94.77,48.59,37.58,1.0398,132.1,193.03,10.0,95.06
Line-B,Type-X,98.52,50.42,63.53,0.878,119.9,220.67,4.0,94.37
Line-B,Type-Z,100.91,51.67,64.56,1.1277,116.0,193.95,2.0,93.93
Line-A,Type-Y,102.08,48.37,52.39,0.9581,117.2,194.48,7.0,95.87
Line-A,Type-X,97.91,48.32,52.12,0.7026,112.6,165.75,4.0,94.37
Line-A,Type-Y,91.7,50.64,65.68,0.7008,131.7,167.16,4.0,95.3
Line-A,Type-Z,96.95,51.4,33.77,0.7915,117.7,193.81,1.0,93.03
Line-B,Type-X,107.18,49.58,67.4,0.8389,116.1,189.58,8.0,94.1
Line-B,Type-X,102.98,50.13,60.89,1.0394,99.0,196.52,8.0,94.65
Line-B,Type-X,95.45,48.9,58.02,1.0473,131.1,246.16,3.0,93.51
Line-B,Type-X,92.98,49.42,56.5,1.0242,127.2,243.07,3.0,93.15
Line-B,Type-Y,97.89,50.17,58.07,1.3152,129.4,214.5,8.0,95.69
Line-A,Type-Z,98.12,48.02,51.21,1.0426,114.9,242.73,3.0,93.61
Line-B,Type-X,103.0,50.4,,1.1182,103.5,217.22,10.0,94.41
Line-A,Type-Y,101.41,49.33,42.37,0.695,132.4,179.05,10.0,94.76
Line-B,Type-Z,100.58,50.62,31.97,0.6107,117.8,227.19,7.0,94.26
Line-A,Type-Z,106.57,49.96,41.63,0.8465,113.1,203.86,8.0,94.61
Line-B,Type-X,105.29,55.79,32.54,0.6583,130.8,228.75,6.0,93.75
Line-B,Type-Y,93.29,52.38,47.97,0.7841,120.4,178.31,4.0,95.16
Line-A,Type-Y,99.52,,,1.0398,103.4,218.27,7.0,94.94
Line-A,Type-Z,101.34,49.81,57.51,0.856,110.3,204.25,5.0,93.77
Line-A,Type-Z,94.6,48.15,39.77,0.9823,115.9,221.94,8.0,93.2
Line-A,Type-Y,100.02,49.33,60.37,0.9258,114.6,209.79,3.0,96.54
Line-A,Type-X,95.65,53.8,35.12,0.7793,115.7,186.68,7.0,93.24
Line-A,Type-Z,99.49,51.66,55.98,1.1986,128.6,216.33,1.0,92.7
Line-B,Type-Y,106.51,50.61,31.87,0.8361,107.5,177.98,6.0,94.82
Line-A,Type-X,97.03,53.41,44.19,1.1268,132.4,200.65,7.0,93.94
Line-B,Type-Z,102.83,45.88,42.81,0.5312,113.9,199.41,4.0,92.41
Line-B,Type-X,101.48,50.7,54.23,1.1435,114.0,169.94,4.0,93.94
Line-B,Type-X,102.34,45.95,61.23,1.1417,122.6,200.65,8.0,94.64
Line-B,Type-Y,100.36,50.17,54.56,0.7484,100.1,203.75,4.0,95.98
Line-B,Type-Z,100.34,52.61,33.89,1.1135,129.3,159.21,10.0,93.27
Line-B,Type-X,103.14,47.24,51.69,1.0358,119.2,191.61,7.0,95.6
Line-A,Type-Z,87.82,51.67,61.01,0.9053,129.2,147.85,3.0,92.77
Line-A,Type-X,88.99,49.09,50.01,1.2664,112.2,160.47,1.0,92.89
Line-B,Type-Y,,47.92,51.73,1.0009,117.2,192.54,6.0,95.52
Line-B,Type-X,101.02,,57.08,0.8561,113.5,197.34,2.0,94.47
Line-B,Type-Y,99.26,57.04,,0.9733,,191.07,9.0,94.33
Line-B,Type-Z,107.99,47.93,40.6,1.2753,113.5,202.63,5.0,92.43
Line-B,Type-X,103.84,,69.94,1.3168,126.4,190.38,5.0,94.69
Line-A,Type-X,87.89,48.93,39.33,0.6531,118.0,163.09,8.0,94.18
Line-B,Type-X,98.71,49.95,30.26,1.0047,,183.56,3.0,95.06
Line-B,Type-Y,93.73,51.13,55.77,0.7108,119.7,178.17,3.0,95.25
Line-A,Type-X,94.41,,47.51,1.3302,128.0,232.33,7.0,93.56
Line-B,Type-Z,95.94,49.87,46.43,1.0752,114.8,185.09,6.0,93.78
Line-B,Type-Y,102.28,49.95,68.59,1.1583,116.9,189.19,6.0,96.15
Line-A,Type-X,102.4,52.37,44.7,1.0129,122.7,174.77,1.0,93.8
Line-B,Type-X,104.12,53.14,50.48,0.9525,124.9,211.11,9.0,93.95
Line-B,Type-Z,107.73,48.84,32.16,0.5949,125.7,157.96,8.0,93.72
Line-A,Type-Y,94.95,49.62,46.56,1.1146,135.9,185.88,6.0,95.33
Line-A,Type-Y,94.66,44.35,61.59,1.0181,127.6,219.06,4.0,94.45
Line-A,Type-X,99.77,49.24,67.02,0.808,120.4,217.53,4.0,95.41
Line-A,Type-Z,100.33,48.26,38.73,0.8892,104.3,212.84,9.0,92.78
Line-A,Type-Z,100.13,49.48,64.0,1.2742,118.9,190.47,6.0,93.83
Line-A,Type-Z,94.25,51.08,40.85,0.6435,105.8,192.21,4.0,92.65
Line-A,Type-X,97.05,47.53,38.16,1.3237,123.2,162.33,8.0,94.74
Line-A,Type-X,96.06,50.29,54.44,0.8406,115.1,193.83,6.0,94.91
Line-A,Type-X,105.08,51.41,35.73,1.1804,120.4,178.78,5.0,94.62
Line-B,Type-X,100.87,48.89,50.43,0.9485,135.0,185.69,5.0,95.71
Line-B,Type-Y,95.21,52.26,59.31,1.0398,107.0,161.69,1.0,95.14
Line-A,Type-X,96.21,50.04,48.85,0.8841,126.5,224.66,8.0,93.82
Line-B,Type-X,99.59,52.86,62.95,1.0398,126.1,198.93,10.0,95.64
Line-B,Type-Z,100.59,50.54,42.95,1.2792,121.6,215.41,6.0,93.34
Line-A,Type-X,93.27,45.64,69.89,1.0744,125.1,256.18,10.0,93.52
Line-A,Type-Z,101.06,51.94,42.25,1.3188,125.2,158.59,7.0,93.87
Line-B,Type-Y,102.06,51.93,58.49,1.1018,120.6,189.44,6.0,96.2
Line-B,Type-Z,113.18,49.19,47.16,1.204,111.0,174.8,1.0,92.71
Line-B,Type-Z,100.44,,61.23,0.9738,131.0,202.12,3.0,93.87
Line-B,Type-X,96.67,51.18,31.64,1.0067,115.6,190.6,1.0,94.49
Line-A,Type-X,101.35,48.24,55.09,0.9117,115.6,165.3,4.0,94.7
Line-B,Type-X,102.35,50.57,68.79,1.2095,125.9,203.55,5.0,95.37
Line-B,Type-Z,85.63,49.85,65.13,1.1244,125.1,215.74,8.0,93.5
Line-B,Type-X,,48.79,63.81,0.9382,115.9,190.6,1.0,94.93
Line-B,Type-Z,102.79,48.47,64.93,1.2134,124.3,203.4,6.0,94.37
Line-A,Type-Y,97.55,50.2,66.81,1.2351,142.2,182.79,8.0,95.53
Line-A,Type-X,98.79,50.08,52.22,1.1723,111.2,201.34,1.0,93.44
Line-A,Type-Y,108.77,49.35,64.21,0.9364,124.2,207.92,10.0,96.54
Line-B,Type-Z,99.35,49.21,62.73,1.2372,120.7,180.26,6.0,93.91
Line-A,Type-X,101.93,48.82,37.96,1.0357,127.0,177.05,10.0,95.0
Line-B,Type-Z,102.75,48.95,32.66,0.9395,133.6,179.48,1.0,92.55
Line-A,Type-Z,97.29,54.37,36.12,1.2028,109.7,222.44,10.0,93.24
Line-A,Type-X,96.06,51.88,60.86,1.099,137.4,196.19,1.0,92.31
Line-A,Type-Y,108.15,47.08,33.67,1.2951,115.2,219.29,9.0,94.53
Line-A,Type-Z,97.34,48.13,61.5,0.8317,106.4,210.42,4.0,93.12
Line-B,Type-X,91.42,53.13,52.7,0.8312,140.5,189.79,7.0,93.29
Line-A,Type-X,102.16,50.8,66.93,1.0123,120.8,168.19,10.0,95.29
Line-B,Type-X,104.32,53.12,33.25,0.7946,137.2,213.8,7.0,94.41
Line-A,Type-Z,93.63,48.34,43.07,0.8836,98.9,212.74,4.0,92.83
Line-B,Type-Y,94.7,47.79,68.24,1.003,121.8,158.2,10.0,96.24
Line-A,Type-X,99.99,,30.52,1.0723,134.7,212.69,1.0,94.7
Line-A,Type-X,98.73,49.45,66.08,0.445,139.7,167.27,5.0,94.11
Line-B,Type-Y,107.2,50.63,42.99,0.9042,139.5,186.56,7.0,94.94
Line-B,Type-Z,101.22,47.14,56.9,0.6372,119.9,207.12,10.0,94.4
Line-B,Type-Z,104.66,48.91,66.94,1.0244,146.6,187.96,2.0,91.96
Line-A,Type-Z,98.0,49.48,69.83,1.0045,117.8,211.35,8.0,93.7
Line-B,Type-Y,93.06,46.71,40.98,1.0247,104.3,224.04,9.0,95.15
Line-A,Type-Z,94.42,49.58,43.61,0.7586,124.7,221.65,10.0,94.06
Line-A,Type-Y,99.08,48.89,55.79,0.7253,112.3,170.26,3.0,95.34
Line-A,Type-X,102.49,53.35,47.28,0.7626,124.5,219.78,1.0,93.71
Line-A,Type-Y,103.17,48.7,,0.8554,114.6,183.18,8.0,96.24
Line-A,Type-Z,89.14,53.45,64.82,1.0646,116.0,152.97,7.0,92.49
Line-B,Type-Z,103.56,48.03,61.86,0.8214,101.9,254.39,9.0,93.46
Line-B,Type-Y,107.37,50.93,49.54,1.048,121.5,190.01,9.0,95.91
Line-B,Type-Y,101.6,45.12,65.06,0.5349,114.2,206.15,9.0,95.64
Line-A,Type-X,102.45,50.26,57.74,1.1769,107.3,193.2,5.0,94.93
Line-B,Type-Y,100.85,49.49,46.02,1.0929,109.9,210.36,7.0,94.88
Line-A,Type-X,97.21,51.65,45.17,1.1589,122.2,213.06,7.0,94.39
Line-A,Type-X,96.48,50.54,48.52,1.0371,122.2,203.47,3.0,94.48
Line-B,Type-X,102.07,52.07,62.63,0.9576,121.3,190.73,3.0,93.97
Line-B,Type-X,98.46,47.69,38.91,1.0688,137.4,193.74,6.0,94.32
Line-B,Type-X,100.58,48.83,50.91,0.5912,154.6,200.12,5.0,93.01
Line-B,Type-X,94.83,48.0,61.49,1.1007,119.0,169.04,4.0,94.34
Line-B,Type-X,99.66,51.39,36.23,0.7338,107.1,207.53,7.0,94.3
Line-A,Type-Z,103.69,48.5,34.81,0.791,115.5,192.61,2.0,94.0
Line-A,Type-X,102.29,47.86,56.21,1.1011,120.4,206.37,1.0,95.28
Line-A,Type-X,,48.39,65.25,1.1156,121.7,212.23,5.0,95.76
Line-A,Type-Y,92.04,46.66,35.08,1.0283,129.7,181.84,3.0,94.0
Line-A,Type-Z,91.76,51.45,61.98,1.1558,114.7,235.62,2.0,92.82
Line-B,Type-Z,99.9,51.85,39.93,1.2933,113.9,232.59,6.0,93.96
Line-A,Type-Z,97.03,49.15,40.08,0.7617,129.7,168.2,10.0,94.28
Line-A,Type-X,98.36,48.25,47.84,1.0259,114.4,158.8,5.0,94.8
Line-B,Type-X,98.3,48.53,32.8,0.6998,116.1,218.35,4.0,94.87
Line-A,Type-Y,91.46,49.52,48.52,1.1574,120.9,182.15,4.0,95.81
Line-B,Type-Y,99.22,47.91,52.41,0.6673,126.5,197.53,6.0,95.58
Line-B,Type-Y,98.95,49.1,42.87,0.6484,120.8,225.64,10.0,97.43
Line-B,Type-Y,106.73,51.58,41.57,1.3322,126.6,197.36,4.0,95.14
Line-A,Type-Z,99.9,49.74,53.38,1.2331,122.5,192.32,6.0,93.82
Line-A,Type-X,95.23,48.48,62.91,0.9143,105.9,235.04,5.0,94.26
Line-A,Type-X,98.05,48.52,57.11,0.9791,126.9,224.95,2.0,94.44
Line-B,Type-Z,91.78,49.86,66.0,1.2222,111.8,198.61,1.0,92.2
Line-B,Type-Z,100.12,49.25,55.5,1.1414,129.3,233.43,7.0,94.41
Line-B,Type-Y,98.54,47.68,33.48,0.6856,120.9,229.56,4.0,95.27
Line-A,Type-Y,97.12,49.05,49.89,1.146,126.5,243.61,6.0,95.73
Line-A,Type-X,91.46,45.39,61.65,0.8952,116.5,204.53,10.0,94.23
Line-A,Type-Z,113.31,46.12,65.67,1.3097,118.8,227.12,10.0,91.45
Line-A,Type-Y,99.54,51.94,44.5,0.8993,115.6,224.62,4.0,95.66
Line-B,Type-Z,109.55,50.12,64.49,1.2737,129.0,213.83,2.0,93.06
Line-B,Type-Y,95.86,52.73,39.17,0.9749,115.2,166.95,2.0,96.3
Line-B,Type-Z,100.2,52.02,51.64,1.1472,121.9,195.48,8.0,95.34
Line-A,Type-Y,102.82,49.41,59.82,0.8525,129.0,159.57,7.0,96.04
Line-B,Type-Y,91.07,51.96,66.96,0.782,122.6,207.69,7.0,96.51
Line-B,Type-Z,105.26,49.19,65.35,0.9833,112.7,202.9,9.0,92.95
Line-A,Type-Y,92.31,49.58,42.8,1.1787,113.6,221.58,3.0,94.58
Line-B,Type-X,110.85,51.17,52.33,0.9884,116.8,244.69,8.0,94.81
Line-B,Type-Y,102.19,50.47,60.35,1.0552,131.8,194.27,2.0,95.59
Line-A,Type-Y,102.92,50.29,54.06,0.8898,122.0,172.59,7.0,96.97
Line-A,Type-Z,97.48,48.5,55.25,0.9649,120.4,196.95,10.0,94.47
Line-B,Type-Y,99.41,48.7,30.8,0.6816,107.9,209.03,4.0,95.98
Line-B,Type-Y,98.49,51.96,64.06,1.1102,118.2,208.4,1.0,95.42
Line-A,Type-Y,105.26,51.23,59.22,0.8938,135.0,203.49,9.0,95.37
Line-B,Type-Y,95.98,53.2,62.53,1.066,116.3,209.37,7.0,95.65
Line-B,Type-Y,90.85,51.43,45.85,0.9837,115.3,229.41,8.0,95.15
