production_line,shift,operator_experience_years,processing_time_min,temperature,humidity,measurement_A,measurement_B,measurement_C,defect_status
Line-2,주간,,25.2,24.2,53.6,106.16,190.09,56.75,0
Line-1,야간,9.0,23.6,26.4,58.3,89.19,221.89,57.56,0
Line-3,야간,2.0,30.8,24.3,35.6,106.75,194.51,48.0,0
Line-2,주간,6.0,30.3,23.7,48.1,99.55,202.82,53.01,0
Line-1,주간,8.0,27.8,25.4,40.1,102.13,188.84,54.51,0
Line-1,야간,,26.3,26.4,72.7,90.34,205.14,51.41,0
Line-3,주간,2.0,33.0,25.2,49.0,110.29,188.6,44.56,0
Line-1,야간,8.0,31.0,24.2,48.7,117.41,217.16,48.29,0
Line-1,주간,3.0,38.1,20.1,68.1,102.46,189.85,58.79,0
Line-3,주간,9.0,27.4,28.1,41.7,94.18,219.33,44.73,0
Line-3,야간,12.0,29.9,28.3,50.6,116.66,201.77,47.13,0
Line-2,야간,1.0,22.7,26.0,51.9,103.86,219.59,54.0,0
Line-1,야간,2.0,31.5,25.8,63.0,99.07,206.84,51.51,0
Line-3,주간,1.0,22.9,26.0,48.9,92.01,200.24,48.69,0
Line-3,주간,4.0,28.1,23.8,47.5,69.48,193.33,52.28,0
Line-1,주간,14.0,23.2,18.2,52.2,106.7,188.71,44.76,0
Line-1,야간,13.0,35.0,24.7,48.8,90.04,211.62,53.39,0
Line-2,주간,,31.7,26.4,49.5,73.55,227.54,44.63,0
Line-1,야간,0.0,33.1,20.2,50.4,107.75,234.1,48.29,0
Line-3,야간,9.0,,25.3,49.2,87.8,229.91,52.34,0
Line-1,주간,1.0,33.7,29.1,45.3,102.13,166.12,47.95,0
Line-2,야간,15.0,31.7,23.9,56.2,105.94,213.14,50.25,0
Line-1,야간,9.0,23.6,25.5,41.2,89.49,166.21,51.6,0
Line-1,야간,6.0,35.1,26.6,53.2,93.53,210.94,42.17,0
Line-3,야간,14.0,30.8,20.4,37.9,112.08,211.03,52.44,0
Line-1,주간,7.0,32.8,20.2,49.5,93.92,222.53,55.98,0
Line-1,야간,8.0,35.9,23.4,51.9,106.99,174.95,51.14,0
Line-1,야간,4.0,28.1,23.6,37.1,99.18,227.02,46.7,0
Line-2,야간,2.0,29.6,23.1,53.3,106.36,248.18,56.86,0
Line-3,야간,0.0,31.1,25.4,58.1,108.39,185.7,46.3,0
Line-3,주간,5.0,30.6,25.8,58.6,91.84,193.24,50.36,0
Line-3,주간,5.0,35.8,28.0,45.7,103.95,189.15,47.0,0
Line-3,야간,14.0,29.4,24.1,63.3,92.81,184.67,51.05,0
Line-1,주간,15.0,24.1,26.4,45.2,101.24,205.83,58.89,0
Line-2,주간,8.0,17.9,23.7,50.6,89.49,210.03,55.02,0
Line-3,야간,7.0,34.9,26.3,56.9,92.59,233.73,51.98,0
Line-1,야간,4.0,26.7,23.2,39.3,86.65,208.35,46.57,0
Line-3,야간,15.0,32.3,26.4,36.4,102.64,166.04,46.94,0
Line-3,야간,,25.6,21.6,67.7,106.5,182.59,51.74,0
Line-3,야간,6.0,25.2,26.5,56.3,107.69,201.02,47.5,0
Line-1,주간,3.0,34.7,28.2,62.3,118.45,181.74,51.66,0
Line-1,주간,4.0,25.6,21.3,29.0,110.15,175.77,58.74,0
Line-1,야간,9.0,26.0,28.4,58.7,90.29,213.36,58.93,0
Line-3,주간,3.0,35.9,27.4,35.1,103.21,201.23,52.51,0
Line-3,야간,7.0,29.6,22.4,59.9,95.23,209.13,44.73,0
Line-3,야간,,28.1,22.3,55.2,90.06,181.04,53.43,0
Line-1,야간,2.0,28.3,24.6,42.3,105.8,213.01,52.29,0
Line-3,야간,8.0,36.0,27.9,51.9,86.33,228.89,50.24,0
Line-3,야간,2.0,38.8,23.8,49.6,107.41,209.92,48.37,0
Line-3,야간,8.0,30.2,22.5,57.7,97.95,217.13,52.1,0
Line-3,주간,13.0,22.1,27.7,48.2,106.0,193.91,52.48,0
Line-3,주간,0.0,21.6,22.2,35.0,106.9,236.25,56.22,0
Line-2,야간,7.0,28.0,23.9,60.0,105.95,187.2,45.68,0
Line-2,야간,3.0,30.7,26.3,43.6,111.98,216.85,49.02,0
Line-2,주간,9.0,27.4,21.4,44.9,81.76,207.11,52.96,0
Line-3,주간,6.0,26.9,25.5,72.1,79.62,208.38,49.71,0
Line-1,야간,4.0,30.3,24.8,51.3,118.14,176.54,51.33,0
Line-2,야간,6.0,31.2,21.4,50.8,105.65,165.44,54.84,0
Line-3,야간,11.0,34.1,25.6,54.6,84.67,192.56,55.46,0
Line-3,야간,10.0,23.1,25.2,44.3,95.12,224.78,51.52,0
Line-1,주간,8.0,31.1,22.9,50.0,100.93,201.19,47.8,0
Line-1,야간,12.0,27.8,24.9,31.3,108.24,175.29,55.27,0
Line-1,주간,9.0,30.0,27.2,55.0,108.97,178.3,54.46,0
Line-1,야간,11.0,35.2,26.8,65.8,92.61,181.5,51.58,0
Line-3,주간,,29.1,25.9,43.1,111.9,172.12,54.16,0
Line-3,야간,15.0,27.2,19.9,52.6,115.23,182.67,43.4,0
Line-1,주간,0.0,31.7,26.4,55.2,85.0,227.93,65.29,0
Line-3,야간,6.0,27.0,25.4,58.0,96.26,185.07,52.47,0
Line-3,야간,9.0,31.4,21.7,36.7,109.4,203.96,63.33,0
Line-1,주간,6.0,33.5,27.0,57.9,91.48,199.64,53.91,0
Line-3,주간,15.0,27.7,22.1,54.0,99.62,184.35,42.58,0
Line-2,야간,12.0,36.0,22.1,52.0,88.82,184.15,60.28,0
Line-1,주간,5.0,28.1,22.6,50.9,120.32,144.45,61.94,0
Line-1,야간,6.0,25.7,23.6,55.0,91.52,161.4,54.65,0
Line-3,주간,15.0,22.6,23.4,51.9,104.31,208.61,49.32,0
Line-2,주간,1.0,30.6,32.5,62.0,97.76,171.43,46.93,0
Line-1,주간,4.0,34.6,27.4,51.9,104.88,212.51,53.51,0
Line-2,야간,4.0,31.8,23.3,57.1,112.72,185.85,49.53,0
Line-3,야간,4.0,29.6,25.0,49.6,106.91,178.36,53.11,0
Line-3,야간,8.0,33.0,25.6,36.1,95.32,230.89,44.03,0
Line-2,야간,9.0,38.1,24.1,46.8,82.29,192.59,55.66,0
Line-3,야간,13.0,,21.9,55.6,93.02,202.05,55.77,0
Line-2,주간,15.0,24.2,21.0,27.6,125.0,227.06,54.22,0
Line-2,야간,8.0,31.8,24.3,46.4,94.45,191.97,50.71,0
Line-2,주간,12.0,41.2,26.6,51.8,84.81,166.46,43.19,0
Line-1,야간,12.0,27.7,21.3,59.1,98.26,184.36,46.02,0
Line-3,주간,15.0,35.4,22.1,66.6,108.26,184.24,45.23,0
Line-3,주간,11.0,31.0,24.4,53.0,89.44,186.94,51.21,0
Line-2,주간,0.0,33.1,27.2,56.5,80.75,161.92,50.75,0
Line-1,주간,14.0,39.4,24.5,67.5,124.18,192.37,56.49,0
Line-1,야간,1.0,34.8,24.5,54.2,89.49,181.03,48.64,0
Line-1,야간,11.0,35.5,26.0,47.7,96.34,235.22,49.31,0
Line-3,야간,5.0,22.0,26.6,57.2,109.44,211.43,54.94,0
Line-1,주간,2.0,32.7,22.5,61.6,83.34,173.76,49.39,0
Line-2,주간,6.0,27.0,22.8,67.0,107.71,180.19,51.77,0
Line-1,주간,12.0,28.6,24.8,53.3,111.56,213.1,45.89,0
Line-2,야간,8.0,36.9,28.8,50.2,103.93,210.8,50.46,0
Line-2,야간,2.0,25.3,26.4,16.8,98.35,175.88,49.5,0
Line-1,주간,11.0,,21.4,56.3,91.49,181.79,56.26,0
Line-1,야간,8.0,29.7,21.4,41.7,96.3,168.59,37.71,0
Line-3,주간,0.0,27.7,23.2,51.0,88.92,207.25,54.99,0
Line-1,야간,5.0,31.1,23.0,43.1,98.94,179.82,53.2,0
Line-3,야간,5.0,27.2,30.0,56.7,113.61,218.47,51.72,0
Line-1,야간,12.0,30.9,22.8,41.6,114.55,191.55,46.02,0
Line-1,주간,11.0,24.7,26.4,47.3,90.71,239.26,52.2,0
Line-2,야간,11.0,,26.4,56.4,100.86,182.19,51.93,0
Line-2,주간,0.0,30.0,26.4,48.6,100.59,216.56,52.24,0
Line-3,야간,1.0,30.5,23.1,32.1,98.5,170.96,45.1,0
Line-1,야간,3.0,29.1,26.4,57.0,101.88,213.71,59.02,0
Line-3,주간,4.0,34.5,26.8,51.9,81.65,196.81,46.23,0
Line-1,야간,10.0,30.5,27.2,44.3,99.05,199.83,48.13,0
Line-2,야간,9.0,31.5,27.7,57.6,86.3,210.64,48.89,0
Line-3,주간,5.0,28.3,26.3,50.3,103.18,204.73,58.68,0
Line-2,주간,1.0,31.4,26.4,51.9,94.32,202.82,44.73,0
Line-1,야간,5.0,28.4,22.7,47.8,85.5,194.08,54.08,0
Line-3,주간,12.0,,28.1,62.4,104.36,180.34,51.18,0
Line-3,주간,6.0,28.5,28.0,60.1,98.98,178.01,52.97,0
Line-1,주간,9.0,31.5,22.7,39.8,88.65,193.58,47.76,0
Line-2,주간,1.0,24.1,20.9,54.1,99.72,192.34,48.77,0
Line-2,주간,4.0,33.7,28.7,67.0,95.24,174.38,53.33,0
Line-2,야간,7.0,33.0,26.9,44.9,94.3,210.65,47.8,0
Line-1,주간,7.0,33.5,24.3,50.3,89.74,205.31,53.94,0
Line-2,야간,7.0,24.2,24.7,29.7,98.68,169.8,44.34,0
Line-3,주간,13.0,29.6,22.6,55.5,98.27,207.88,55.8,0
Line-2,야간,9.0,33.2,25.0,61.9,119.04,214.87,51.48,0
Line-1,주간,0.0,27.4,24.8,59.9,93.42,192.37,47.77,0
Line-2,야간,8.0,36.9,24.3,41.9,95.54,177.46,41.98,0
Line-2,야간,12.0,28.7,19.1,64.2,96.84,196.49,55.05,0
Line-1,주간,14.0,17.8,27.9,52.0,95.77,209.54,47.57,0
Line-3,주간,13.0,27.5,23.4,46.4,106.06,192.37,46.52,0
Line-2,주간,13.0,27.0,21.8,55.4,83.94,202.18,48.2,0
Line-2,야간,8.0,31.9,27.1,59.5,105.21,226.44,50.45,0
Line-2,주간,9.0,28.8,24.8,51.1,74.87,199.38,59.48,0
Line-1,주간,4.0,,21.9,47.5,110.58,224.19,47.6,0
Line-1,야간,11.0,24.6,25.0,44.6,99.84,191.87,53.0,0
Line-1,야간,14.0,31.6,26.7,36.1,106.37,223.33,56.73,0
Line-1,주간,12.0,38.0,26.4,51.5,100.56,192.18,56.15,0
Line-1,야간,1.0,31.4,28.3,36.4,94.9,173.26,48.43,0
Line-1,주간,6.0,35.5,22.5,25.3,100.41,199.34,48.07,0
Line-2,야간,9.0,30.9,24.4,52.8,101.52,204.37,45.11,0
Line-3,야간,5.0,27.4,25.4,46.4,99.65,244.11,54.78,0
Line-3,주간,15.0,26.7,26.4,42.4,99.56,148.25,48.48,0
Line-3,주간,8.0,32.6,30.2,51.9,111.75,202.31,44.73,0
Line-1,주간,6.0,27.8,29.0,42.8,101.87,213.05,52.96,0
Line-1,주간,5.0,33.7,24.9,54.1,114.93,220.73,56.52,0
Line-2,주간,3.0,30.0,25.6,55.6,99.77,197.24,53.36,0
Line-3,주간,3.0,26.0,23.9,51.9,98.04,201.21,44.11,0
Line-1,야간,10.0,24.1,21.9,36.2,104.16,198.2,45.36,0
Line-2,야간,0.0,22.5,24.2,47.3,85.44,214.6,50.54,0
Line-3,야간,4.0,35.3,28.3,56.8,94.58,167.19,46.19,0
Line-2,야간,4.0,26.8,19.8,53.0,104.26,210.87,49.21,0
Line-3,주간,2.0,33.2,26.4,38.3,87.23,180.72,55.14,0
Line-2,야간,11.0,25.4,29.2,55.7,100.53,192.37,57.0,0
Line-3,야간,11.0,36.3,27.4,49.4,108.24,194.13,51.45,0
Line-1,야간,0.0,27.3,26.9,53.9,105.81,227.79,52.96,0
Line-3,주간,14.0,22.2,25.5,43.2,86.92,167.37,36.13,0
Line-2,야간,1.0,31.5,23.0,56.4,103.16,178.79,50.54,0
Line-1,야간,3.0,31.2,22.3,45.0,93.36,182.93,52.14,0
Line-2,주간,8.0,26.2,28.4,34.8,100.66,191.03,41.24,0
Line-3,야간,6.0,,24.6,57.1,99.96,214.06,50.95,0
Line-3,주간,1.0,35.5,25.3,29.7,97.91,207.83,52.7,0
Line-2,야간,6.0,36.4,26.7,44.0,99.66,186.87,50.63,0
Line-3,야간,0.0,41.7,27.1,66.2,105.43,187.46,50.14,0
Line-2,야간,14.0,23.6,24.3,37.8,100.34,217.67,49.33,0
Line-1,야간,5.0,34.1,26.4,44.9,104.13,240.53,60.82,0
Line-2,주간,14.0,30.7,21.4,35.8,91.33,190.22,43.81,0
Line-2,야간,6.0,20.8,21.2,49.5,96.32,202.83,59.29,0
Line-3,야간,6.0,33.0,23.4,51.9,98.2,186.14,42.72,0
Line-2,주간,4.0,27.3,25.5,39.9,108.43,156.32,42.69,0
Line-3,주간,9.0,31.7,26.4,73.8,89.88,227.05,46.8,0
Line-3,주간,0.0,27.3,22.7,49.6,119.75,175.25,48.81,0
Line-1,주간,0.0,,20.0,56.0,104.82,192.37,47.53,0
Line-1,주간,1.0,33.9,29.7,61.2,114.83,217.6,47.75,0
Line-1,주간,7.0,37.1,27.7,57.7,100.33,204.05,48.93,0
Line-1,야간,13.0,31.3,22.4,59.3,110.85,193.5,49.24,0
Line-1,야간,3.0,25.5,22.6,56.9,102.41,200.89,44.73,0
Line-2,야간,3.0,28.8,19.8,67.5,90.86,236.11,46.18,0
Line-1,주간,5.0,25.1,23.7,42.4,94.1,176.08,52.61,0
Line-2,주간,3.0,24.4,23.0,45.8,100.6,217.2,46.36,0
Line-2,주간,5.0,37.4,24.6,39.8,105.7,201.26,43.68,0
Line-1,야간,3.0,33.6,23.4,51.6,86.19,155.47,43.34,0
Line-2,야간,15.0,34.3,26.5,45.2,107.24,168.53,49.25,0
Line-2,야간,14.0,34.0,26.2,44.6,97.73,182.22,46.63,0
Line-3,야간,5.0,,23.8,61.2,81.36,190.39,56.57,0
Line-2,야간,5.0,31.1,26.6,44.3,94.49,200.86,46.74,0
Line-3,주간,15.0,26.7,27.3,58.7,116.65,178.94,48.2,0
Line-1,야간,4.0,22.9,24.6,25.6,81.29,190.64,50.8,0
Line-1,주간,4.0,24.4,28.0,61.6,96.83,186.93,36.8,0
Line-3,주간,5.0,31.3,29.3,48.9,97.34,185.64,44.08,0
Line-1,야간,15.0,32.3,24.5,62.1,108.39,164.57,44.69,0
Line-2,야간,8.0,27.1,23.8,56.7,88.74,184.87,47.02,0
Line-2,주간,9.0,29.0,23.8,58.9,116.02,202.16,51.04,0
Line-3,야간,3.0,31.9,24.8,70.4,119.02,186.26,46.56,0
Line-3,주간,0.0,30.1,22.2,47.8,104.35,183.47,50.49,0
Line-1,야간,7.0,24.7,19.6,33.3,94.06,197.97,47.61,0
Line-2,야간,,24.4,26.9,40.6,98.14,196.18,44.73,0
Line-3,야간,6.0,23.7,21.1,58.9,102.76,223.4,54.89,0
Line-3,주간,2.0,25.1,27.6,27.2,106.86,199.1,42.14,0
Line-1,야간,8.0,34.3,28.0,60.7,104.01,199.25,55.1,0
Line-2,주간,,34.6,23.7,54.1,89.15,188.16,50.91,0
Line-2,주간,10.0,29.4,25.8,46.1,93.11,180.17,55.84,0
Line-3,야간,6.0,35.5,25.8,34.5,97.46,221.72,44.41,0
Line-1,주간,8.0,31.9,31.6,42.8,87.26,183.54,51.25,0
Line-3,야간,0.0,32.2,36.2,45.8,91.13,198.07,51.93,1
Line-3,주간,7.0,30.9,25.3,36.5,101.03,188.6,52.83,0
Line-3,주간,10.0,34.8,21.5,61.2,98.03,188.42,45.56,0
Line-1,주간,0.0,18.9,24.6,34.0,100.59,232.89,53.5,0
Line-3,주간,3.0,29.7,24.3,62.7,94.47,168.31,53.39,0
Line-2,주간,,33.2,27.1,58.5,104.52,181.61,40.24,0
Line-2,주간,8.0,38.3,25.2,42.6,105.05,181.56,47.11,0
Line-1,야간,3.0,30.1,26.3,46.2,108.18,209.76,44.2,0
Line-1,야간,15.0,38.8,23.8,56.4,99.15,250.32,48.81,0
Line-1,주간,1.0,26.6,28.8,57.4,102.17,229.99,50.31,0
Line-2,야간,6.0,21.4,29.1,48.8,96.07,216.57,48.17,0
Line-3,주간,14.0,24.8,30.4,54.3,115.18,202.19,45.88,0
Line-1,야간,3.0,35.3,26.6,51.9,90.72,201.64,45.1,0
Line-3,야간,15.0,34.8,25.3,41.5,102.34,202.96,52.13,0
Line-2,야간,10.0,24.1,21.9,43.7,97.82,151.8,40.1,0
Line-1,야간,14.0,25.4,26.0,45.2,97.77,212.54,50.95,0
Line-2,야간,,33.6,25.1,60.2,90.51,178.7,43.77,0
Line-2,야간,9.0,31.2,27.3,48.7,100.84,208.85,53.9,0
Line-3,야간,9.0,32.7,28.9,51.9,98.6,226.63,71.33,0
Line-2,야간,14.0,30.2,28.5,51.1,94.4,208.38,49.81,0
Line-1,야간,0.0,29.3,25.3,47.3,105.54,199.87,61.34,0
Line-1,주간,14.0,38.6,32.0,41.0,89.49,190.2,49.08,0
Line-3,주간,7.0,34.0,25.8,47.7,95.79,210.45,48.19,0
Line-1,야간,15.0,28.3,23.5,29.8,106.98,175.29,46.41,0
Line-2,야간,1.0,29.4,28.9,41.0,94.51,223.1,53.41,0
Line-3,야간,11.0,31.9,24.5,39.1,92.06,223.33,48.73,0
Line-1,야간,9.0,30.2,27.6,58.6,87.75,242.51,50.95,0
Line-1,주간,9.0,32.1,24.8,38.2,99.42,218.79,47.53,0
Line-2,야간,3.0,23.2,26.4,48.2,110.91,219.87,51.53,0
Line-2,야간,13.0,20.9,26.4,60.5,100.29,155.8,49.82,0
Line-1,야간,1.0,32.7,25.9,49.9,89.49,195.52,53.25,0
Line-3,주간,6.0,32.1,16.5,55.7,107.45,200.39,57.16,0
Line-2,주간,,33.3,23.0,54.4,105.83,197.6,47.28,0
Line-2,주간,12.0,36.3,25.0,47.4,95.85,194.14,40.36,0
Line-2,야간,5.0,29.8,22.8,32.6,83.75,198.63,46.4,0
Line-3,야간,8.0,32.4,21.9,43.1,91.98,202.19,50.71,0
Line-3,주간,12.0,30.6,21.5,43.6,108.16,177.48,54.55,0
Line-3,주간,13.0,26.7,30.6,52.1,89.16,185.19,50.84,0
Line-1,야간,1.0,36.6,27.9,50.0,108.73,181.0,47.34,0
Line-1,주간,1.0,32.4,25.4,54.2,108.31,214.95,52.05,0
Line-2,주간,0.0,30.6,20.8,62.4,106.78,216.34,53.66,0
Line-2,야간,2.0,33.0,25.0,39.6,102.11,172.5,51.94,0
Line-3,야간,10.0,32.0,19.3,47.6,104.62,196.25,44.73,0
Line-2,야간,6.0,31.4,28.5,59.1,91.28,192.37,52.04,0
Line-2,주간,7.0,29.2,26.4,51.3,97.85,230.87,62.68,0
Line-1,야간,10.0,29.1,27.8,51.2,103.17,202.25,46.53,0
Line-1,야간,9.0,30.2,31.2,58.0,86.81,234.22,48.46,0
Line-2,주간,12.0,23.1,23.2,56.5,102.14,204.07,49.11,0
Line-3,주간,10.0,33.8,19.9,39.2,88.0,179.65,45.85,0
Line-1,야간,1.0,25.4,25.3,39.7,93.74,200.43,51.64,0
Line-2,야간,6.0,25.6,24.9,46.0,106.86,189.02,42.98,0
Line-3,야간,14.0,29.2,23.2,51.7,84.17,199.06,45.76,0
Line-1,주간,1.0,27.3,29.9,53.8,111.66,171.91,43.09,0
Line-2,야간,0.0,34.5,27.1,46.3,95.74,226.99,48.32,0
Line-3,야간,7.0,23.4,23.4,53.1,102.39,154.35,44.96,0
Line-1,주간,14.0,35.1,23.9,51.3,106.95,188.98,41.0,0
Line-3,주간,13.0,29.8,23.8,66.2,91.87,215.47,50.98,0
Line-3,야간,13.0,24.3,25.6,50.6,110.7,205.1,59.58,0
Line-1,야간,2.0,32.3,22.9,52.7,90.01,176.12,54.68,0
Line-2,야간,14.0,34.2,28.6,28.1,85.91,175.55,49.47,0
Line-1,주간,3.0,31.9,25.6,55.4,112.69,220.56,47.61,0
Line-2,야간,15.0,23.1,24.6,35.0,95.86,197.94,50.84,0
Line-1,주간,13.0,25.6,21.7,44.1,110.77,192.37,48.53,0
Line-3,야간,15.0,21.9,25.8,42.7,105.99,201.36,50.25,0
Line-2,야간,2.0,33.5,25.6,37.8,89.49,170.87,52.53,0
Line-1,주간,5.0,31.3,20.0,49.2,93.77,227.5,52.23,0
Line-2,야간,5.0,34.6,25.8,51.6,113.67,209.02,48.57,0
Line-3,야간,11.0,24.4,29.5,57.9,95.38,198.46,47.86,0
Line-1,야간,7.0,26.6,30.1,40.6,102.59,182.62,49.49,0
Line-3,주간,0.0,26.3,26.4,45.5,103.52,236.1,53.53,0
Line-1,주간,9.0,24.7,25.1,54.8,109.8,208.55,53.33,0
Line-3,주간,9.0,41.3,25.1,52.2,98.6,208.44,45.22,0
Line-1,야간,3.0,26.9,24.2,51.6,116.3,221.14,44.73,0
Line-1,주간,4.0,29.5,26.4,46.2,105.74,165.4,53.9,0
Line-2,야간,11.0,41.3,23.4,29.6,100.23,202.62,59.31,0
Line-1,야간,1.0,31.1,24.8,51.5,89.49,171.75,47.98,0
Line-2,야간,4.0,35.8,31.0,51.9,123.21,217.34,53.55,0
Line-1,주간,12.0,30.5,20.9,58.0,98.59,195.38,49.57,0
Line-3,야간,4.0,30.5,23.4,45.2,111.22,214.52,48.49,0
Line-2,야간,1.0,21.9,26.0,60.3,92.15,212.28,55.97,0
Line-2,야간,7.0,28.3,26.8,45.8,88.82,199.39,53.09,0
Line-1,야간,0.0,40.2,26.3,57.2,106.03,192.37,52.67,0
Line-3,주간,7.0,29.4,25.9,57.0,80.7,171.52,45.42,0
Line-2,주간,9.0,25.2,21.0,38.3,102.12,229.95,47.6,0
Line-1,야간,0.0,28.5,27.3,51.4,94.42,157.22,51.43,0
Line-2,야간,6.0,40.1,22.8,42.2,90.03,180.88,52.4,0
Line-3,야간,8.0,30.5,30.5,34.1,102.02,216.46,53.9,0
Line-3,야간,7.0,29.8,24.1,45.3,97.17,178.26,54.47,0
Line-1,야간,14.0,35.4,28.8,52.5,106.99,196.81,37.19,0
Line-2,주간,4.0,32.8,24.4,41.1,95.42,195.03,49.83,0
Line-1,주간,7.0,23.9,27.3,57.2,123.23,200.8,56.84,0
Line-3,주간,10.0,34.9,23.8,51.5,97.33,224.21,43.12,0
Line-2,야간,8.0,30.6,21.1,62.9,108.57,184.79,60.39,0
Line-3,야간,2.0,23.2,27.7,35.8,118.66,153.24,45.21,0
Line-2,야간,9.0,21.9,19.6,52.7,112.12,246.79,56.22,0
Line-3,주간,15.0,27.6,20.8,48.9,96.83,173.7,51.07,0
Line-1,야간,9.0,33.0,26.2,48.8,110.76,201.7,49.19,0
Line-1,주간,15.0,31.9,22.4,51.2,126.43,176.46,57.48,0
Line-2,야간,3.0,31.0,27.1,38.4,103.07,242.02,42.35,0
Line-3,야간,3.0,34.4,28.1,61.6,78.92,217.23,44.73,0
Line-2,야간,2.0,39.3,22.1,45.7,76.23,203.13,51.35,0
Line-1,주간,10.0,30.0,25.8,36.9,96.46,192.37,54.24,0
Line-1,야간,4.0,28.2,24.7,44.9,95.76,192.37,50.21,0
Line-1,야간,4.0,33.7,34.5,46.8,87.41,177.8,43.52,0
Line-3,야간,5.0,33.1,25.4,68.3,99.21,196.61,52.8,0
Line-2,주간,5.0,27.9,21.3,38.8,80.09,193.34,53.82,0
Line-1,주간,10.0,27.8,26.0,66.5,89.49,191.15,44.73,0
Line-3,야간,7.0,30.1,28.5,54.6,109.34,196.55,39.52,0
Line-3,주간,11.0,29.0,22.4,45.0,95.3,207.57,48.42,0
Line-3,야간,6.0,23.3,22.9,65.2,90.44,161.64,52.77,0
Line-2,야간,5.0,27.4,18.9,43.9,107.03,191.46,48.84,0
Line-2,야간,2.0,24.4,22.9,64.6,91.94,215.01,55.81,0
Line-3,주간,0.0,29.4,20.4,45.6,109.2,189.61,50.43,0
Line-1,야간,7.0,39.5,21.3,51.4,109.74,193.3,50.99,0
Line-2,주간,10.0,33.8,27.5,62.4,102.16,166.37,49.06,0
Line-1,주간,15.0,,26.3,44.7,101.69,218.88,52.38,0
Line-1,주간,3.0,25.0,23.4,46.4,97.29,227.0,49.04,0
Line-2,야간,5.0,27.1,28.9,51.4,109.86,191.47,56.68,0
Line-2,야간,9.0,29.2,20.5,58.4,98.63,190.55,43.29,0
Line-2,주간,2.0,27.4,22.0,42.8,103.26,188.1,53.03,0
Line-2,주간,10.0,33.0,21.8,49.2,98.78,215.65,51.49,0
Line-2,야간,4.0,34.2,22.7,40.5,86.57,179.55,44.83,0
Line-3,야간,3.0,31.9,28.7,49.8,92.83,187.31,55.6,0
Line-1,주간,3.0,19.3,25.5,45.3,97.21,200.09,46.11,0
Line-2,야간,5.0,30.0,26.4,47.6,102.99,225.08,46.54,0
Line-1,야간,0.0,39.2,22.1,47.4,95.21,161.97,39.04,0
Line-1,주간,11.0,32.0,28.0,46.4,109.22,239.24,52.71,0
Line-2,야간,8.0,26.7,24.0,41.5,107.69,222.91,47.23,0
Line-2,주간,10.0,29.7,26.1,60.0,96.56,227.67,40.61,0
Line-2,야간,,27.2,28.4,39.2,101.03,185.71,53.89,0
Line-2,주간,13.0,29.6,22.6,54.6,100.16,195.8,46.63,0
Line-1,야간,0.0,33.5,25.1,71.6,114.08,195.29,47.17,0
Line-3,주간,14.0,25.0,26.4,54.6,107.45,190.19,52.81,0
Line-1,주간,15.0,33.4,28.0,32.6,86.53,217.85,45.12,0
Line-3,주간,9.0,31.2,25.8,49.9,87.36,216.37,55.25,0
Line-3,주간,11.0,29.1,21.8,48.3,105.67,209.95,41.79,0
Line-2,주간,9.0,29.7,21.0,55.3,104.98,199.7,41.62,0
Line-2,주간,5.0,37.6,24.9,47.2,97.43,191.7,47.44,0
Line-3,주간,13.0,25.4,21.9,46.6,106.53,206.03,45.08,0
Line-3,야간,15.0,30.6,26.5,59.4,92.07,218.24,42.01,0
Line-2,주간,5.0,28.2,29.0,22.7,89.58,178.55,49.38,0
Line-1,주간,2.0,30.6,17.9,59.8,116.28,240.03,51.69,0
Line-2,주간,5.0,31.0,20.5,43.0,92.05,212.66,53.64,0
Line-1,야간,6.0,33.5,22.3,38.7,107.04,196.48,50.09,0
Line-3,주간,14.0,35.9,26.2,40.7,87.24,220.43,53.22,0
Line-2,야간,2.0,28.5,27.6,41.0,108.7,229.08,55.46,0
Line-1,주간,9.0,32.6,27.4,29.0,89.49,241.03,54.29,0
Line-3,주간,8.0,32.6,28.0,45.8,87.66,196.43,44.53,0
Line-2,야간,6.0,33.5,25.0,40.2,94.41,181.47,54.23,0
Line-1,주간,4.0,36.0,26.1,67.5,105.22,192.99,48.1,0
Line-1,주간,12.0,34.0,24.5,56.9,104.57,237.81,47.94,0
Line-1,주간,2.0,22.5,21.2,42.3,112.78,210.31,58.52,0
Line-3,주간,13.0,27.4,22.8,56.7,103.35,231.47,50.77,0
Line-3,주간,,25.6,29.2,29.1,100.27,194.95,47.9,0
Line-1,주간,2.0,31.4,20.0,33.0,103.86,158.73,48.6,0
Line-1,야간,,33.0,22.6,49.1,96.85,192.37,59.82,0
Line-1,야간,8.0,32.5,26.3,37.2,82.03,186.99,50.04,0
Line-3,주간,,31.9,28.2,41.6,107.15,225.58,56.35,0
Line-1,야간,8.0,31.7,25.3,58.7,110.02,220.48,51.87,0
Line-2,야간,7.0,22.5,28.7,57.7,109.41,226.66,39.74,0
Line-2,주간,11.0,30.9,28.1,41.8,103.69,192.37,44.73,0
Line-1,야간,14.0,30.7,21.1,79.6,99.49,218.71,58.76,0
Line-2,야간,8.0,27.1,21.6,41.3,92.87,192.98,54.17,0
Line-1,야간,8.0,39.4,25.0,59.6,120.22,230.85,50.0,0
Line-1,주간,8.0,36.5,31.4,39.8,103.52,207.32,53.4,0
Line-2,야간,7.0,27.6,17.5,54.7,94.33,150.28,52.73,0
