number,building_material,parking_spaces,subway_stations_1km,amenities_500m,school_score,price_eok
1453,목조,2,2,0,8,37.1
1454,목조,2,0,8,7,27.8
1455,목조,2,3,12,7,32
1456,벽돌,1,2,14,8,23.5
1457,철근콘크리트,2,1,1,1,29.2
1458,벽돌,2,1,11,4,31.2
1459,벽돌,2,2,12,7,27.2
1460,목조,1,0,7,8,27.4
1461,목조,1,0,4,7,18.8
1462,철근콘크리트,2,2,13,10,41.2
1463,목조,2,3,5,8,36.6
1464,목조,1,1,14,7,30.6
1465,벽돌,2,1,8,10,30.4
1466,철근콘크리트,1,3,14,8,32.7
1467,철근콘크리트,1,1,2,6,26.3
1468,철근콘크리트,3,3,13,6,34.5
1469,벽돌,1,3,2,2,16.5
1470,철근콘크리트,1,2,13,3,14.6
1471,철근콘크리트,1,2,2,7,21.8
1472,목조,2,,1,4,39.4
1473,철근콘크리트,2,3,8,4,31.5
1474,목조,1,1,11,4,13.3
1475,철근콘크리트,1,0,12,9,19
1476,벽돌,1,3,12,6,27
1477,벽돌,2,2,7,2,33
1478,벽돌,2,2,5,10,35.7
1479,벽돌,2,3,10,1,37.5
1480,벽돌,1,0,11,7,25.6
1481,철근콘크리트,2,1,8,2,32.9
1482,벽돌,2,3,13,2,27.5
1483,,1,2,8,4,11.7
1484,철근콘크리트,2,2,7,3,24.6
1485,벽돌,1,3,7,3,20.5
1486,철근콘크리트,1,2,7,5,22.5
1487,철근콘크리트,1,1,5,9,30.1
1488,목조,2,0,7,4,22.9
1489,벽돌,2,1,14,10,25.5
1490,,,2,2,5,30.2
1491,철근콘크리트,2,2,8,2,28.8
1492,벽돌,2,0,1,10,19.5
1493,목조,2,3,7,1,37.6
1494,벽돌,1,2,9,7,23.3
1495,벽돌,1,1,9,6,21.1
1496,벽돌,,0,3,2,12.1
1497,,2,3,5,4,28.4
1498,목조,1,3,3,7,18.9
1499,철근콘크리트,1,2,14,6,23.4
1500,목조,1,1,6,3,20.3
