고객ID,연령,성별,지역,가입기간,월요금,총요금,상담횟수,데이터사용량,계약유형,해지여부
C00842,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00843,,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00844,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00845,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00846,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00847,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00848,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00849,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00850,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00851,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00852,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00853,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00854,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00855,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00856,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00857,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00858,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00859,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00860,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00861,,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00862,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00863,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00864,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00865,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00866,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00867,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00868,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00869,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00870,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00871,33,여성,서울,10,78200,782000,3,11,약정없음,1
C00872,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00873,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00874,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00875,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00876,,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00877,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00878,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00879,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00880,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00881,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00882,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00883,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00884,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00885,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00886,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00887,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00888,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00889,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00890,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00891,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00892,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00893,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00894,,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00895,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00896,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00897,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00898,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00899,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00900,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00901,42,남성,서울,24,68000,1632000,1,20.2,1년약정,0
C00902,33,여성,경기,3,92000,276000,5,6.5,약정없음,1
C00903,50,남성,부산,60,55000,3300000,0,45.2,2년약정,0
C00904,26,여성,서울,2,108000,216000,4,8.1,약정없음,1
C00905,61,남성,기타,15,82000,,2,15.8,약정없음,0
C00906,22,여성,경기,8,60000,480000,3,13.2,약정없음,1
C00907,48,남성,부산,72,105000,7560000,1,62.1,2년약정,0
C00908,35,여성,서울,20,84000,1680000,2,25.4,1년약정,0
C00909,,남성,대구,4,63500,254000,6,5.2,약정없음,1
C00910,29,여성,경기,36,44000,1584000,0,32.7,1년약정,0
C00911,38,남성,서울,12,79000,948000,3,16.5,약정없음,1
C00912,63,여성,기타,6,95000,570000,4,9.2,약정없음,1
C00913,45,남성,서울,48,115000,5520000,1,58.3,2년약정,0
C00914,31,여성,부산,24,58000,1392000,2,28.7,1년약정,0
C00915,67,남성,경기,1,48000,,5,2.5,약정없음,1
C00916,40,여성,서울,55,91000,5005000,0,42.1,2년약정,0
C00917,24,남성,대구,10,65000,650000,3,18,약정없음,1
C00918,49,여성,기타,36,75000,2700000,1,35.2,1년약정,0
C00919,56,남성,부산,18,88000,1584000,4,22.1,약정없음,1
C00920,33,여성,서울,6,45000,270000,2,14.5,약정없음,0
C00921,28,남성,경기,3,99000,297000,5,5.8,약정없음,1
C00922,46,여성,대구,15,72000,1080000,2,20.1,1년약정,0
C00923,60,남성,서울,66,125000,8250000,1,65.2,2년약정,0
C00924,37,여성,기타,24,80000,1920000,3,30.2,1년약정,0
C00925,23,남성,부산,5,62000,310000,4,11.5,약정없음,1
C00926,51,여성,경기,42,94000,3948000,0,40.1,2년약정,0
C00927,,남성,서울,1,118000,,6,15.2,약정없음,1
C00928,64,여성,대구,60,86000,5160000,1,48.2,2년약정,0
C00929,29,남성,기타,12,52000,624000,2,16.5,약정없음,0
C00930,42,여성,부산,2,89500,179000,5,4.9,약정없음,1
C00931,31,남성,서울,18,72000,1296000,1,22.5,1년약정,0
C00932,44,여성,경기,1,105000,105000,6,8.4,약정없음,1
C00933,29,남성,부산,36,48000,1728000,0,30.2,2년약정,0
C00934,52,여성,기타,2,93500,187000,5,4.2,약정없음,1
C00935,37,남성,대구,14,66000,,2,15.8,약정없음,0
C00936,25,여성,서울,5,81000,405000,4,11.2,약정없음,1
C00937,60,남성,경기,60,112000,6720000,1,58.9,2년약정,0
C00938,43,여성,부산,24,78000,1872000,2,26.4,1년약정,0
C00939,21,남성,서울,3,99500,298500,5,7.1,약정없음,1
C00940,55,여성,기타,48,53000,2544000,0,38.2,2년약정,0
C00941,34,남성,대구,10,82500,825000,3,14.5,약정없음,1
C00942,,여성,서울,1,118000,118000,6,12,약정없음,1
C00943,19,남성,경기,12,42000,504000,2,10.1,1년약정,0
C00944,65,여성,부산,24,96000,2304000,1,33.5,1년약정,0
C00945,39,남성,대구,4,75000,,4,9.2,약정없음,1
C00946,28,여성,서울,36,58000,2088000,0,35.2,2년약정,0
C00947,51,남성,경기,2,102000,204000,5,6.1,약정없음,1
C00948,33,여성,부산,15,77000,1155000,2,19.2,1년약정,0
C00949,45,남성,서울,1,120000,120000,6,15.8,약정없음,1
C00950,22,여성,기타,8,62000,496000,3,11.5,약정없음,1
C00951,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00952,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00953,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00954,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00955,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00956,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00957,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00958,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00959,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00960,,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00961,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00962,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00963,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00964,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00965,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00966,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00967,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00968,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00969,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00970,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00971,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00972,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00973,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00974,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00975,,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00976,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00977,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00978,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00979,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00980,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00981,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00982,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00983,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00984,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00985,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00986,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00987,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00988,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00989,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00990,,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00991,33,여성,서울,10,78200,782000,3,11,약정없음,1
C00992,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00993,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00994,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00995,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00996,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00997,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00998,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00999,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C01000,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C01001,31,남성,서울,18,72000,1296000,1,22.5,1년약정,0
C01002,44,여성,경기,1,105000,105000,6,8.4,약정없음,1
C01003,29,남성,부산,36,48000,1728000,0,30.2,2년약정,0
C01004,52,여성,기타,2,93500,187000,5,4.2,약정없음,1
C01005,,남성,대구,14,66000,,2,15.8,약정없음,0
C01006,25,여성,서울,5,81000,405000,4,11.2,약정없음,1
C01007,60,남성,경기,60,112000,6720000,1,58.9,2년약정,0
C01008,43,여성,부산,24,78000,1872000,2,26.4,1년약정,0
C01009,21,남성,서울,3,99500,298500,5,7.1,약정없음,1
C01010,55,여성,기타,48,53000,2544000,0,38.2,2년약정,0
C01011,34,남성,대구,10,82500,825000,3,14.5,약정없음,1
C01012,47,여성,서울,1,118000,118000,6,12,약정없음,1
C01013,19,남성,경기,12,42000,504000,2,10.1,1년약정,0
C01014,65,여성,부산,24,96000,2304000,1,33.5,1년약정,0
C01015,39,남성,대구,4,75000,,4,9.2,약정없음,1
C01016,28,여성,서울,36,58000,2088000,0,35.2,2년약정,0
C01017,51,남성,경기,2,102000,204000,5,6.1,약정없음,1
C01018,33,여성,부산,15,77000,1155000,2,19.2,1년약정,0
C01019,45,남성,서울,1,120000,120000,6,15.8,약정없음,1
C01020,,여성,기타,8,62000,,3,11.5,약정없음,1
C01021,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C01022,55,남성,경기,2,89000,178000,5,5,약정없음,1
C01023,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C01024,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C01025,62,여성,기타,12,75000,,2,10.2,약정없음,0
C01026,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C01027,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C01028,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C01029,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C01030,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C01031,33,여성,서울,10,78200,782000,3,11,약정없음,1
C01032,,남성,기타,5,92500,462500,4,6.7,약정없음,1
C01033,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C01034,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C01035,65,여성,경기,1,45000,,5,1.2,약정없음,1
C01036,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C01037,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C01038,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C01039,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C01040,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C01041,27,여성,경기,2,95000,190000,5,4.5,약정없음,1
C01042,44,남성,대구,12,68000,816000,2,16.7,1년약정,0
C01043,59,여성,서울,66,120000,7920000,1,60.1,2년약정,0
C01044,35,남성,기타,18,77500,1395000,3,22.3,1년약정,0
C01045,22,여성,부산,4,58000,232000,4,8.9,약정없음,1
C01046,49,남성,경기,40,91000,3640000,0,35.4,2년약정,0
C01047,,여성,서울,1,112000,,6,12.1,약정없음,1
C01048,61,남성,대구,55,83000,4565000,1,40.2,2년약정,0
C01049,26,여성,기타,10,49000,490000,2,14,약정없음,0
C01050,40,남성,부산,2,86000,172000,5,3.8,약정없음,1
C01051,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C01052,55,남성,경기,2,89000,178000,5,5,약정없음,1
C01053,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C01054,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C01055,62,여성,기타,12,75000,,2,10.2,약정없음,0
C01056,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C01057,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C01058,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C01059,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C01060,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C01061,33,여성,서울,10,78200,782000,3,11,약정없음,1
C01062,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C01001,31,남성,서울,18,72000,1296000,1,22.5,1년약정,0
C01002,44,여성,경기,1,105000,105000,6,8.4,약정없음,1
C01003,,남성,부산,36,48000,1728000,0,30.2,2년약정,0
C01004,52,여성,기타,2,93500,187000,5,4.2,약정없음,1
C01005,37,남성,대구,14,66000,,2,15.8,약정없음,0
C01006,25,여성,서울,5,81000,405000,4,11.2,약정없음,1
C01007,60,남성,경기,60,112000,6720000,1,58.9,2년약정,0
C01008,43,여성,부산,24,78000,1872000,2,26.4,1년약정,0
C01009,21,남성,서울,3,99500,298500,5,7.1,약정없음,1
C01010,55,여성,기타,48,53000,2544000,0,38.2,2년약정,0
C01011,34,남성,대구,10,82500,825000,3,14.5,약정없음,1
C01012,47,여성,서울,1,118000,118000,6,12,약정없음,1
C01013,19,남성,경기,12,42000,504000,2,10.1,1년약정,0
C01014,65,여성,부산,24,96000,2304000,1,33.5,1년약정,0
C01015,39,남성,대구,4,75000,,4,9.2,약정없음,1
C01016,28,여성,서울,36,58000,2088000,0,35.2,2년약정,0
C01017,51,남성,경기,2,102000,204000,5,6.1,약정없음,1
C01018,,여성,부산,15,77000,1155000,2,19.2,1년약정,0
C01019,45,남성,서울,1,120000,120000,6,15.8,약정없음,1
C01020,22,여성,기타,8,62000,,3,11.5,약정없음,1
C01021,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C01022,55,남성,경기,2,89000,178000,5,5,약정없음,1
C01023,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C01024,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C01025,62,여성,기타,12,75000,,2,10.2,약정없음,0
C01026,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C01027,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C01028,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C01029,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C01030,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C01031,33,여성,서울,10,78200,782000,3,11,약정없음,1
C01032,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C01033,,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C01034,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C01035,65,여성,경기,1,45000,,5,1.2,약정없음,1
C01036,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C01037,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C01038,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C01039,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C01040,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C01041,27,여성,경기,2,95000,190000,5,4.5,약정없음,1
C01042,44,남성,대구,12,68000,816000,2,16.7,1년약정,0
C01043,59,여성,서울,66,120000,7920000,1,60.1,2년약정,0
C01044,35,남성,기타,18,77500,1395000,3,22.3,1년약정,0
C01045,22,여성,부산,4,58000,232000,4,8.9,약정없음,1
C01046,49,남성,경기,40,91000,3640000,0,35.4,2년약정,0
C01047,33,여성,서울,1,112000,,6,12.1,약정없음,1
C01048,61,남성,대구,55,83000,4565000,1,40.2,2년약정,0
C01049,26,여성,기타,10,49000,490000,2,14,약정없음,0
C01050,40,남성,부산,2,86000,172000,5,3.8,약정없음,1
C01051,,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C01052,55,남성,경기,2,89000,178000,5,5,약정없음,1
C01053,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C01054,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C01055,62,여성,기타,12,75000,,2,10.2,약정없음,0
C01056,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C01057,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C01058,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C01059,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C01060,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C01061,33,여성,서울,10,78200,782000,3,11,약정없음,1
C01062,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C01063,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C01064,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C01065,65,여성,경기,1,45000,,5,1.2,약정없음,1
C01066,,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C01067,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C01068,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C01069,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C01070,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C01071,27,여성,경기,2,95000,190000,5,4.5,약정없음,1
C01072,44,남성,대구,12,68000,816000,2,16.7,1년약정,0
C01073,59,여성,서울,66,120000,7920000,1,60.1,2년약정,0
C01074,35,남성,기타,18,77500,1395000,3,22.3,1년약정,0
C01075,22,여성,부산,4,58000,232000,4,8.9,약정없음,1
C01076,49,남성,경기,40,91000,3640000,0,35.4,2년약정,0
C01077,33,여성,서울,1,112000,,6,12.1,약정없음,1
C01078,61,남성,대구,55,83000,4565000,1,40.2,2년약정,0
C01079,26,여성,기타,10,49000,490000,2,14,약정없음,0
C01080,40,남성,부산,2,86000,172000,5,3.8,약정없음,1
C01081,,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C01082,55,남성,경기,2,89000,178000,5,5,약정없음,1
C01083,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C01084,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C01085,62,여성,기타,12,75000,,2,10.2,약정없음,0
C01086,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C01087,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C01088,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C01089,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C01090,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C01091,33,여성,서울,10,78200,782000,3,11,약정없음,1
C01092,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C01093,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C01094,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C01095,65,여성,경기,1,45000,,5,1.2,약정없음,1
C01096,,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C01097,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C01098,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C01099,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C01100,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C01101,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C01102,55,남성,경기,2,89000,178000,5,5,약정없음,1
C01103,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C01104,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C01105,62,여성,기타,12,75000,,2,10.2,약정없음,0
C01106,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C01107,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C01108,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C01109,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C01110,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C01111,,여성,서울,10,78200,782000,3,11,약정없음,1
C01112,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C01113,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C01114,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C01115,65,여성,경기,1,45000,,5,1.2,약정없음,1
C01116,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C01117,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C01118,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C01119,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C01120,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C01121,27,여성,경기,2,95000,190000,5,4.5,약정없음,1
C01122,44,남성,대구,12,68000,816000,2,16.7,1년약정,0
C01123,,여성,서울,66,120000,7920000,1,60.1,2년약정,0
C01124,35,남성,기타,18,77500,1395000,3,22.3,1년약정,0
C01125,22,여성,부산,4,58000,232000,4,8.9,약정없음,1
C01126,49,남성,경기,40,91000,3640000,0,35.4,2년약정,0
C01127,33,여성,서울,1,112000,,6,12.1,약정없음,1
C01128,61,남성,대구,55,83000,4565000,1,40.2,2년약정,0
C01129,26,여성,기타,10,49000,490000,2,14,약정없음,0
C01130,40,남성,부산,2,86000,172000,5,3.8,약정없음,1
C01131,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C01132,55,남성,경기,2,89000,178000,5,5,약정없음,1
C01133,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C01134,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C01135,,여성,기타,12,75000,,2,10.2,약정없음,0
C01136,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C01137,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C01138,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C01139,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C01140,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C01141,33,여성,서울,10,78200,782000,3,11,약정없음,1
C01142,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C01143,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C01144,,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C01145,65,여성,경기,1,45000,,5,1.2,약정없음,1
C01146,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C01147,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C01148,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C01149,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C01150,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C01151,27,여성,경기,2,95000,190000,5,4.5,약정없음,1
C01152,44,남성,대구,12,68000,816000,2,16.7,1년약정,0
C01153,59,여성,서울,66,120000,7920000,1,60.1,2년약정,0
C01154,35,남성,기타,18,77500,1395000,3,22.3,1년약정,0
C01155,22,여성,부산,4,58000,232000,4,8.9,약정없음,1
C01156,,남성,경기,40,91000,3640000,0,35.4,2년약정,0
C01157,33,여성,서울,1,112000,,6,12.1,약정없음,1
C01158,61,남성,대구,55,83000,4565000,1,40.2,2년약정,0
C01159,26,여성,기타,10,49000,490000,2,14,약정없음,0
C01160,40,남성,부산,2,86000,172000,5,3.8,약정없음,1
C01161,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C01162,55,남성,경기,2,89000,178000,5,5,약정없음,1
C01163,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C01164,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C01165,62,여성,기타,12,75000,,2,10.2,약정없음,0
C01166,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C01167,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C01168,,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C01169,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C01170,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C01171,33,여성,서울,10,78200,782000,3,11,약정없음,1
C01172,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C01173,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C01174,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C01175,65,여성,경기,1,45000,,5,1.2,약정없음,1
C01176,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C01177,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C01178,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C01179,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C01180,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C01181,27,여성,경기,2,95000,190000,5,4.5,약정없음,1
C01182,44,남성,대구,12,68000,816000,2,16.7,1년약정,0
C01183,59,여성,서울,66,120000,7920000,1,60.1,2년약정,0
C01184,35,남성,기타,18,77500,1395000,3,22.3,1년약정,0
C01185,,여성,부산,4,58000,232000,4,8.9,약정없음,1
C01186,49,남성,경기,40,91000,3640000,0,35.4,2년약정,0
C01187,33,여성,서울,1,112000,,6,12.1,약정없음,1
C01188,61,남성,대구,55,83000,4565000,1,40.2,2년약정,0
C01189,26,여성,기타,10,49000,490000,2,14,약정없음,0
C01190,40,남성,부산,2,86000,172000,5,3.8,약정없음,1
C01191,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C01192,55,남성,경기,2,89000,178000,5,5,약정없음,1
C01193,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C01194,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C01195,62,여성,기타,12,75000,,2,10.2,약정없음,0
C01196,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C01197,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C01198,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C01199,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C01200,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C01201,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
